Naziv kompanije,PIB,Matični broj,CRPS Status,Promet 2024,Profit,Broj zaposlenih,Grad,Adresa,Datum osnivanja,Ukupna aktiva
PDG PROFESSIONAL DEVELOPMENT GROUP,02755149,50530604,Aktivan,4497385,147566,15,,,2009-05-11,2078317
BOSTER,03024873,50716619,Aktivan,4490792,579293,12,,,2015-01-21,1306939
IMPLEMENIA,03121593,50784178,Aktivan,4481569,295118,21,,,2017-02-07,2823767
INSTITUT ZA JAVNO ZDRAVLJE,02015340,80005753,Aktivan,9252118,16820,254,,,2002-08-09,6767313
KROLING,02251841,50014330,Aktivan,4691811,766917,8,,,2002-07-25,17978354
PODRUMAR,02828499,50600936,Aktivan,4392747,282568,8,,,2011-03-22,1584206
BAĆOVIĆ,02273233,50067662,Aktivan,4370097,124404,37,,,2002-08-12,3290930
GOODFELLAS CO,02835096,50604434,Aktivan,4384985,202124,49,,,2011-05-05,4275440
GVAM PHARM,02232189,50041354,Aktivan,4330094,71703,25,,,2002-08-05,1261433
SIMES INŽENJERING,02319977,50093091,Aktivan,5029416,395138,41,,,2002-08-09,17045375
KOV - CAR,02884909,50633226,Aktivan,4327158,268035,14,,,2012-06-12,2981308
ARGOS,02693259,50434604,Aktivan,4394747,157261,120,,,2007-12-18,9489291
SUNRAF BEACH PROPERTIES,03156745,50806586,Aktivan,2177538,768027,8,,,2017-10-05,10827587
MONTE D,02955679,50674201,Aktivan,4329845,420454,35,,,2013-10-14,2541358
HELP,02901137,50642061,Aktivan,4539926,157777,49,,,2012-10-05,1228779
SAGA CG,02657597,50373433,Aktivan,4242526,224657,10,,,2007-04-24,1348747
FRIGO SISTEM,02705826,50454182,Aktivan,4252557,255027,13,,,2008-03-17,2744139
LAMIGA GROUP,02821885,50597443,Aktivan,4243211,330358,46,,,2011-02-07,3180739
TALIJA COMPANY,02695138,50437641,Aktivan,4270749,472006,101,,,2008-01-14,5236666
